Tree Species,Quadrant Color,Plot Code,DBH Diameter (cm),Tree Height (Low<50cm; High>50 cm),Number of Egg Masses,Areas of egg masses,Total Area estimate,Estimated number of eggs,Observers,Notes,,,,,,
Red oak,White,4N6,9.8,Low,0,,,,Michael and Carly,,,,,,,0
Red oak,White,4N6,9.8,High,4,D + E + E + D,,,Michael and Carly,,,,,,,
Red oak,White,4N6,6.6,Low,0,,,,Michael and Carly,,,,,,,
Red oak,White,4N6,6.6,High,1,D,,,Michael and Carly,,,,,,,
Red oak,White,4N6,11.7,Low,0,,,,Michael and Carly,,,,,,,
Red oak,White,4N6,11.7,High,19,C + E + D + D + C + C + E + E + E + E + E + E + D + E + E + D + D + E + D,,,Michael and Carly,,,,,,,
Red oak,White,4N6,12.5,Low,0,,,,Michael and Carly,,,,,,,
Red oak,White,4N6,12.5,High,5,E + D + D + C + D,,,Michael and Carly,,,,,,,
Red oak,White,4N6,10.4,Low,1,E,,,Michael and Carly,,,,,,,
Red oak,White,4N6,10.4,High,7,D + D + D + E + E + D + D,,,Michael and Carly,,,,,,,
Red oak ,White,4N6,10.6,Low,0,E,,,Michael and Carly,,,,,,,
Red oak,White,4N6,10.6,High,2,D + D,,,Michael and Carly,,,,,,,
White pine,White,4N6,None,Low,0,,,,Michael and Carly,Some pinea present in plot but all were dead,,,,,,
White pine,White,4N6,None,High,0,,,,Michael and Carly,Some pinea present in plot but all were dead,,,,,,
White pine,White,PIST,6.2,Low,3,E + E + D,,,Michael and Carly,,,,,,,
White pine,White,PIST,6.2,High,3,D + C + C,,,Michael and Carly,,,,,,,
White pine,White,PIST,5.5,Low,3,E + E + D,,,Michael and Carly,,,,,,,
White pine,White,PIST,5.5,High,1,C,,,Michael and Carly,,,,,,,
Sugar maple,White,ACSA,5.1,Low,0,,,,Michael and Carly,Tree protection,,,,,,
Sugar maple,White,ACSA,5.1,High,0,,,,Michael and Carly,Tree protection,,,,,,
Red oak,White,QURN,10.5,Low,2,D + D,,,Michael and Carly,,,,,,,
Red oak,White,QURN,10.5,High,10,D + D + D + D + D + D + D + D + D + D ,,,Michael and Carly,,,,,,,
Red oak,White,QURN,7.8,Low,0,,,,Michael and Carly,,,,,,,
Red oak,White,QURN,7.8,High,18,E + C + E + D + E + E + D + D + D + E + C + E + E + E + D + D + D + D,,,Michael and Carly,,,,,,,
Red oak,White,QURN,6.9,Low,1,D,,,Michael and Carly,,,,,,,
Red oak,White,QURN,6.9,High,0,,,,Michael and Carly,,,,,,,
Red oak,White,QURN,8.2,Low,0,,,,Michael and Carly,,,,,,,
Red oak,White,QURN,8.2,High,7,C + C + C + C + C + C + E,,,Michael and Carly,,,,,,,
Red oak,White,QURN,8.9,Low,0,,,,Michael and Carly,,,,,,,
Red oak,White,QURN,8.9,High,9,E + D  + C + D + D + D + D + D + D,,,Michael and Carly,,,,,,,
Red oak,White,QURN,9.9,Low,2,D + D,,,Michael and Carly,,,,,,,
Red oak,White,QURN,9.9,High,18,C + D + D + D + D + D + C + C + C + C + E + E + C + C + D + C + D + D,,,Michael and Carly,,,,,,,
White pine,White,4NR7,1.9,Low,1,D,,,Michael and Carly,,,,,,,
White pine,White,4NR7,1.9,High,2,E + D,,,Michael and Carly,,,,,,,
White pine,White,4NR7,2,Low,0,,,,Michael and Carly,,,,,,,
White pine,White,4NR7,2,High,1,E,,,Michael and Carly,,,,,,,
Red oak,Yellow,4N6,8.8,Low,0,,,,Michael and Carly,,,,,,,
Red oak,Yellow,4N6,8.8,High,9,D + D + D + D + D + E + D + E + E,,,Michael and Carly,,,,,,,
Red oak,Yellow,4N6,5.4,Low,2,E + D,,,Michael and Carly,,,,,,,
Red oak,Yellow,4N6,5.4,High,3,E + D + D + D,,,Michael and Carly,,,,,,,
Red oak,Yellow,4N6,6.7,Low,1,E,,,Michael and Carly,,,,,,,
Red oak,Yellow,4N6,6.7,High,8,D + D + E + D + E + E + E + E,,,Michael and Carly,,,,,,,
Red oak,Red,QURN,19.5,Low,0,,,,Michael and Carly,,,,,,,
Red,Red,QURN,19.5,High,3,D + D + D,,,Michael and Carly,,,,,,,
Red oak,Red,QURN,14.6,Low,0,,,,Michael and Carly,,,,,,,
Red oak,Red,QURN,14.6,High,8,D + D + C + B D + C + C + C,,,Michael and Carly,,,,,,,
Red oak,Red,QURN,10.6,Low,0,,,,Michael and Carly,,,,,,,
Red oak,Red,QURN,10.6,High,19,D + D + D + C + B + D + E + C + C + C + C + D + D + D + D + D + D + E + B,,,Michael and Carly,,,,,,,
White pine,White,12N,1.9,Low,4,D + E + D + C,,,Michael and Carly,,,,,,,
White pine,White,12N,1.9,High,3,D + C + C,,,Michael and Carly,,,,,,,
White pine,White,12N,1.9,Low,0,,,,Michael and Carly,,,,,,,
White pine,White,12N,1.9,High,0,,,,Michael and Carly,,,,,,,
White pine,White,12N,2.8,Low,0,,,,Michael and Carly,,,,,,,
White pine,White,12N,2.8,High,1,C,,,Michael and Carly,,,,,,,
White pine,White,12N,4.1,Low,1,B,,,Michael and Carly,,,,,,,
White pine,White,12N,4.1,High,1,B,,,Michael and Carly,,,,,,,
White pine,White,12N,2.6,Low,0,,,,Michael and Carly,,,,,,,
White pine,White,12N,2.6,High,0,,,,Michael and Carly,,,,,,,
Sugar maple,White,12N,3.3,Low,1,D,,,Michael and Carly,,,,,,,
Sugar maple,White,12N,3.3,High,0,,,,Michael and Carly,,,,,,,
Sugar maple,Blue,12N,2.9,Low,2,A + C,,,Michael and Carly,,,,,,,
Sugar maple,Blue,12N,2.9,High,2,C + C,,,Michael and Carly,,,,,,,
Sugar maple,Blue,12N,3.8 + 2.5,Low,3,D + C + B,,,Michael and Carly,,,,,,,
Sugar maple,Blue,12N,3.8 + 2.5,High,5,C + D + E + E + D,,,Michael and Carly,,,,,,,
Sugar maple,Blue,ACSA,4.9,Low,0,,,,Michael and Carly,None. Yes Tree protection,,,,,,
Sugar maple,Blue,ACSA,4.9,High,0,,,,Michael and Carly,None. Yes tree protection,,,,,,
Sugar maple,Blue,ACSA,7.7,Low,0,,,,Michael and Carly,None. Minimal tree protection,,,,,,
Sugar maple,Blue,ACSA,7.7,High,0,,,,Michael and Carly,None. Minimal tree protection,,,,,,
Sugar maple,Blue,ACSA,10.6,Low,0,,,,Michael and Carly,None. No tree protection.,,,,,,
Sugar maple,Blue,ACSA,10.6,High,0,,,,Michael and Carly,None. No tree protection,,,,,,
Sugar maple,Blue,ACSA,12.1,Low,3,D + E + E + D,,,Michael and Carly,No Tree protection,,,,,,
Sugar maple,Blue,ACSA,12.1,High,5,E + E + D + E + D,,,Michael and Carly,No Tree protection,,,,,,
Sugar maple,Blue,ACSA,6.8,Low,0,,,,Michael and Carly,Yes tree protection,,,,,,
Sugar maple,Blue,ACSA,6.8,High,2,D + D,,,Michael and Carly,Yes tree protection,,,,,,
Sugar maple,Blue,ACSA,5.9,Low,0,,,,Michael and Carly,Yes tree protection,,,,,,
Sugar maple,Blue,ACSA,5.9,High,3,C + D +C,,,Michael and Carly,Yes tree protection,,,,,,
Red oak,Blue,4N6,8.3,Low,0,,,,Michael and Carly,No tree protection in this plot (4N6),,,,,,
Red oak,Blue,4N6,8.3,High,7,E + D + C + D + D + D + C,,,Michael and Carly,No tree protection in this plot (4N6),,,,,,
Red oak,Blue,4N6,13.3,Low,0,,,,Michael and Carly,,,,,,,
Red oak,Blue,4N6,13.3,High,11,E + E + E + D + D + E + E + B + D + E + C,,,Michael and Carly,,,,,,,
Red oak,Blue,4N6,6.4,Low,2,D + E,,,Michael and Carly,,,,,,,
Red oak,Blue,4N6,6.4,High,2,E + D,,,Michael and Carly,,,,,,,
Spruce,Blue,4NR7,1.5,Low,4,C + E + D + D,,,Nicole and Noa,,,,,,,
Spruce,Blue,4NR7,1.5,High,4,D + D + E + C,,,Nicole and Noa,,,,,,,
Sugar maple,Blue,4NR7,5,Low,3,D + D + D,,,Nicole and Noa,White tape,,,,,,
Sugar maple,Blue,4NR7,5,High,1,D,,,Nicole and Noa,White tape,,,,,,
Sugar maple,Blue,4NR7,2.3 + 3.0,Low,3,D + E + D,,,Nicole and Noa,White tape,,,,,,
Sugar maple,Blue,4NR7,2.3 + 3.0,High,0,,,,Nicole and Noa,White tape,,,,,,
Sugar maple,Blue,4NR7,4.3,Low,2,D + C,,,Nicole and Noa,White tape,,,,,,
Sugar maple,Blue,4NR7,4.3,High,3,E + C + E + D + E + E + D + D + D + E + C + E + E + E + D + D + D + D,,,Nicole and Noa,White tape,,,,,,
Sugar maple,Blue,4NR7,4.4,Low,2,A + E,,,Nicole and Noa,Next (adjacent) to previous records,,,,,,
Sugar maple,Blue,4NR7,4.4,High,1,D,,,Nicole and Noa,Next (adjacent) to previous records,,,,,,
Sugar maple,Blue,4NR7,4.6,Low,8,E + D + D + C + C + D + D + E,,,Nicole and Noa,White tape,,,,,,
Sugar maple,Blue,4NR7,4.6,High,7,E + D + E + C + E + D + C,,,Nicole and Noa,White tape,,,,,,
Sugar maple,Blue,4NR7,3.7 + 2.7 + 1.4,Low,9,E + E + D + E + E + E + D + D + D,,,Nicole and Noa,,,,,,,
Sugar maple,Blue,4NR7,3.7 + 2.7 + 1.4,High,0,,,,Nicole and Noa,,,,,,,
White pine,Blue,4NR7,1.5,Low,2,C + E,,,Nicole and Noa,,,,,,,
White pine,Blue,4NR7,1.5,High,1,C,,,Nicole and Noa,,,,,,,
White pine,Blue,4NR7,2.6,Low,7,C + D + C + D + A + D + E,,,Nicole and Noa,,,,,,,
White pine,Blue,4NR7,2.6,High,2,B + B,,,Nicole and Noa,,,,,,,
White pine,Blue,PIST,3.6,Low,0,,,,Nicole and Noa,,,,,,,
White pine,Blue,PIST,3.6,High,1,D,,,Nicole and Noa,,,,,,,
White pine,Blue,PIST,4.2,Low,0,,,,Nicole and Noa,,,,,,,
White pine,Blue,PIST,4.2,High,0,,,,Nicole and Noa,,,,,,,
White pine,Blue,PIST,4.3,Low,0,,,,Nicole and Noa,,,,,,,
White pine,Blue,PIST,4.3,High,2,A + E,,,Nicole and Noa,,,,,,,
White pine,Blue,PIST,3.8,Low,1,D,,,Nicole and Noa,,,,,,,
White pine,Blue,PIST,3.8,High,1,C,,,Nicole and Noa,,,,,,,
White pine,Blue,PIST,3.2,Low,2,D + B,,,Nicole and Noa,,,,,,,
White pine,Blue,PIST,3.2,High,2,C + C,,,Nicole and Noa,,,,,,,
White pine,Blue,PIST,4.3,Low,4,E + C + D + D,,,Nicole and Noa,,,,,,,
White pine,Blue,PIST,4.3,High,4,A + A + E + E,,,Nicole and Noa,,,,,,,
White pine,Blue,4NR7,2.2,Low,3,D + D + D,,,Nicole and Noa,,,,,,,
White pine,Blue,4NR7,2.2,High,0,,,,Nicole and Noa,,,,,,,
White pine,Yellow,PIST,8.1,Low,1,E,,,Nicole and Noa,,,,,,,
White pine,Yellow,PIST,8.1,High,5,C + C + C + C + D,,,Nicole and Noa,,,,,,,
White pine,Yellow,PIST,3.9,Low,1,D,,,Nicole and Noa,,,,,,,
White pine,Yellow,PIST,3.9,High,0,,,,Nicole and Noa,,,,,,,
White pine,Yellow,PIST,6.9,Low,2,C + D,,,Nicole and Noa,,,,,,,
White pine,Yellow,PIST,6.9,High,1,D,,,Nicole and Noa,,,,,,,
White pine,Yellow,PIST,3.2 + 1.5,Low,1,D,,,Nicole and Noa,,,,,,,
White pine,Yellow,PIST,3.2 + 1.5,High,0,,,,Nicole and Noa,,,,,,,
White pine,Yellow,PIST,5.7,Low,0,,,,Nicole and Noa,,,,,,,
White pine,Yellow,PIST,5.7,High,3,D + D + C,,,Nicole and Noa,,,,,,,
White pine,Yellow,PIST,3.7,Low,2,E + E,,,Nicole and Noa,,,,,,,
White pine,Yellow,PIST,3.7,High,4,C + C + E + D,,,Nicole and Noa,,,,,,,
Sugar maple,Yellow,ACSA,9.1,Low,0,,,,Nicole and Noa,,,,,,,
Sugar maple,Yellow,ACSA,9.1,High,7,E + E + E + E + E + D + C,,,Nicole and Noa,,,,,,,
Sugar maple,Yellow,ACSA,6.2,Low,2,D + E,,,Nicole and Noa,white tape,,,,,,
Sugar maple,Yellow,ACSA,6.2,High,1,D,,,Nicole and Noa,white tape,,,,,,
Sugar maple,Yellow,ACSA,8.9,Low,1,E,,,Nicole and Noa,,,,,,,
Sugar maple,Yellow,ACSA,8.9,High,0,,,,Nicole and Noa,,,,,,,
Red oak,Yellow,4N6,7,Low,1,E,,,Nicole and Noa,,,,,,,
Red oak,Yellow,4N6,7,High,0,,,,Nicole and Noa,,,,,,,
Red oak,Yellow,4N6,10.4,Low,1,E,,,Nicole and Noa,,,,,,,
Red oak,Yellow,4N6,10.4,High,4,D + D + E + A,,,Nicole and Noa,,,,,,,
Red oak,Yellow,4N6,10.6,Low,0,,,,Nicole and Noa,,,,,,,
Red oak,Yellow,4N6,10.6,High,1,D,,,Nicole and Noa,,,,,,,
White pine,Yellow,4N7,2,Low,0,,,,Nicole and Noa,,,,,,,
White pine,Yellow,4N7,2,High,0,,,,Nicole and Noa,,,,,,,
White pine,Yellow,4N7,2.6,Low,1,C,,,Nicole and Noa,,,,,,,
White pine,Yellow,4N7,2.6,High,0,,,,Nicole and Noa,,,,,,,
White pine,Yellow,4N7,2.1,Low,1,A,,,Nicole and Noa,,,,,,,
White pine,Yellow,4N7,2.1,High,2,C + D,,,Nicole and Noa,,,,,,,
Sugar maple,Yellow,12N,6,Low,1,C,,,Nicole and Noa,,,,,,,
Sugar maple,Yellow,12N,6,High,5,B + B + C + E + A,,,Nicole and Noa,,,,,,,
Sugar maple,Yellow,12N,5.3,Low,1,C,,,Nicole and Noa,,,,,,,
Sugar maple,Yellow,12N,5.3,High,2,C + B,,,Nicole and Noa,,,,,,,
White pine,Yellow,12N,1.7,Low,0,,,,Nicole and Noa,,,,,,,
White pine,Yellow,12N,1.7,High,0,,,,Nicole and Noa,,,,,,,
White pine,Yellow,12N,1.6,Low,0,,,,Nicole and Noa,,,,,,,
White pine,Yellow,12N,1.6,High,0,,,,Nicole and Noa,,,,,,,
White pine,Red,4N6,2.2,Low,0,,,,Nicole and Noa,,,,,,,
White pine,Red,4N6,2.2,High,0,,,,Nicole and Noa,,,,,,,
White pine,Red,4N6,2,Low,1,E,,,Nicole and Noa,,,,,,,
White pine,Red,4N6,2,High,0,,,,Nicole and Noa,,,,,,,
White pine,Red,4N6,1.2,Low,2,D + D,,,Nicole and Noa,,,,,,,
White pine,Red,4N6,1.2,High,1,D,,,Nicole and Noa,,,,,,,
Red oak,Red,4N6,13.4,Low,0,,,,Nicole and Noa,,,,,,,
Red oak,Red,4N6,13.4,High,11,E + E + E + D + D + D + D + D + D + D + D,,,Nicole and Noa,,,,,,,
Red oak,Red,4N6,3.4,Low,0,,,,Nicole and Noa,,,,,,,
Red oak,Red,4N6,3.4,High,3,D + D + E,,,Nicole and Noa,,,,,,,
Red oak,Red,4N6,4.6,Low,3,D + D + E,,,Nicole and Noa,,,,,,,
Red oak,Red,4N6,4.6,High,1,E,,,Nicole and Noa,,,,,,,
Red oak,Red,4N6,13.4,Low,4,D + D + E + C,,,Nicole and Noa,,,,,,,
Red oak,Red,4N6,13.4,High,8,E + E + E + E + D + D + C + C,,,Nicole and Noa,,,,,,,
Sugar maple,Red,12N,3.8,Low,1,D,,,Nicole and Noa,,,,,,,
Sugar maple,Red,12N,3.8,High,8,D + D + D + D + D E + E + C,,,Nicole and Noa,,,,,,,
Red oak,Red,12N,7.1,Low,0,,,,Nicole and Noa,,,,,,,
Red oak,Red,12N,7.1,High,1,D,,,Nicole and Noa,,,,,,,
Red oak,Red,12N,4.3,Low,1,D,,,Nicole and Noa,,,,,,,
Red oak,Red,12N,4.3,High,0,,,,Nicole and Noa,,,,,,,
Red oak,Red,12N,5.3,Low,0,,,,Nicole and Noa,,,,,,,
Red oak,Red,12N,5.3,High,2,E + E,,,Nicole and Noa,,,,,,,
Sugar maple,Red,12N,3.4 + 1.7,Low,1,E,,,Nicole and Noa,,,,,,,
Sugar maple,Red,12N,3.4 + 1.7,High,0,,,,Nicole and Noa,,,,,,,
Red oak,Red,12N,5.2,Low,1,E,,,Nicole and Noa,,,,,,,
Red oak,Red,12N,5.2,High,2,E + E,,,Nicole and Noa,,,,,,,
White pine,Red,12N,1.3,Low,0,,,,Nicole and Noa,,,,,,,
White pine,Red,12N,1.3,High,0,,,,Nicole and Noa,,,,,,,
White pine,Red,12N,3.5,Low,1,E,,,Nicole and Noa,,,,,,,
White pine,Red,12N,3.5,High,0,,,,Nicole and Noa,,,,,,,
Red oak,Red,12N,9.1,Low,4,E + E + D + C,,,Nicole and Noa,,,,,,,
Red oak,Red,12N,9.1,High,4,D + D + E + E,,,Nicole and Noa,,,,,,,